,;hash;nonce;transaction_index;from_address;to_address;value;gas;gas_price;input;receipt_cumulative_gas_used;receipt_gas_used;receipt_contract_address;receipt_root;receipt_status;block_timestamp;block_number;block_hash;max_fee_per_gas;max_priority_fee_per_gas;transaction_type;receipt_effective_gas_price
10,10;0xcebf8f6c8fc9914cd73c467e421c7c2c5da8188f9e16397aa85810389bf8b6d2;1568;69;0xf46f205a14b03371c6472dac28318b34380856da;0x00000000006c3852cbef3e08e8df289169ede581;72000000.0;190764;12153818678;0xfb0f3ee100000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000f966872f3b8000000000000000000000000000f96b453acd15b5822a5c3a4ef4211ca58027c672000000000000000000000000004c00500000ad104d7dbd00e3ae0a5c00560c00000000000000000000000000a0d128a28f3bc2441c4f76f0a8f394b6460473c100000000000000000000000000000000000000000000000000000000000002bb000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000063882ea100000000000000000000000000000000000000000000000000000000638980200000000000000000000000000000000000000000000000000000000000000000360c6ebe0000000000000000000000000000000000000000d16f1e8fcb3b27ef0000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000024000000000000000000000000000000000000000000000000000000000000002a0000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000066517289880000000000000000000000000000000a26b00c1f0df003000390027140000faa71900000000000000000000000000000000000000000000000000000000000000408d0041e9ceb756a599fc6b567020dab175ae9c63adb8e9316c89c9e18f8817111d64320e6c4cba273f9a3c97351a1c50d73f9d375fe38f705f077bc6cfd3e018;6854458;141770;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;15372796613.0;1500000000.0;2;12153818678
11,11;0x06e6e24e7dc556497a33e7bdc23a7582223a5e19a2cd6bf8f18b7710f3395684;97;28;0x4e6852956139c47d2183c984079839a55a6e1bf6;0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2;0.0;39617;12653818678;0x2e1a7d4d0000000000000000000000000000000000000000000000000186cc6acd4b0000;1983410;30404;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;18609142222.0;2000000000.0;2;12653818678
12,12;0x9b3ea08be11d4bfeb7f683370818245a4561b263b8266e95fc58115de44733b8;6932;18;0x331438345811dd4fcb75f307074efbcc9e4f378a;0xa47d54c0391d2d0e7e6d052052632793fac8c0fe;232704757.0;80000;13500000000;0x;1006248;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;;;0;13500000000
13,13;0x7b860e7d0287f2a77b98a32712729bfa82f5306e827dcc1b4e14c4d3e6ca13c5;11986;60;0xdda14a7c503341fc6fe9c002ca7524bf74ec8918;0xe48498de2b01d49b1633d545147e428b7c87fec6;0.0;500000;12153818678;0xc980753900000000000000000000000000000000000000000000000000000000000000800000000000000000000000000000000000000000000000000000000000000320000000000000000000000000000000000000000000000000000000000000040001010000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000280000000000000000000000010967c87a6743f782be523aba73b42a40003188e010d06080703050c0209010f0a0b040e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000060000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000053d81d27bbd9c000000000000000000000000000000000000000000000000000541f750aeb339000000000000000000000000000000000000000000000000000542c07410a522000000000000000000000000000000000000000000000000000542d0706a1c68000000000000000000000000000000000000000000000000000542d0706a1c68000000000000000000000000000000000000000000000000000542d0706a1c68000000000000000000000000000000000000000000000000000542d0706a1c68000000000000000000000000000000000000000000000000000542d0706a1c68000000000000000000000000000000000000000000000000000542d0706a1c68000000000000000000000000000000000000000000000000000542e34fa9d634000000000000000000000000000000000000000000000000000542e70bc4871c000000000000000000000000000000000000000000000000000542e70bc4871c000000000000000000000000000000000000000000000000000542f62ee99000000000000000000000000000000000000000000000000000000542f62ee99000000000000000000000000000000000000000000000000000000542f62ee99000000000000000000000000000000000000000000000000000000542f62ee990000000000000000000000000000000000000000000000000000000000000000006d4716a23a520a98a9cd3afc68e1bc9d81fbd722dcf58505092a12d56fc5f49b3f567979e4fa5eaf4388cc87dc2ffedb9ff82d27b31203247fba6ccd34cacbf9bbdc0e7bf570964bb3f42f6988d80441f754e6f3e12683e28229a6137e3b5a6bba901b1755e39444bd429f8d87bfe693c962abdcb6ddaf930ac23287fad49daa111e0b4339b3aa5659ca2eae2cc323f0778a5584bba832344ffcec5689ad11741043154b88f192737cf7870ead1599e250b9e5b7ca1ba16317f97a316df3ed88500000000000000000000000000000000000000000000000000000000000000066855aed957f4f25c07913a4328ffbfe5655679484d2645c0e77608736990d6610f4f53c58a0a2497cdd5af8398d9b3509ffbf677ea633aeee2a9c74ae099d2f14ad972140d9f3dbcb56a1133406b5790479a82d597e78474a5dbf7f30f9d496643bb4592eb9c79a6f6075adb1d798adc288887d798ded4f1c83c46127a70788c5305d61ed9a523363940eedfc1f5aa61e0566593f607d3364c4f88fbfd0bb17f798db8f632ec68269e5ee9d541bba1568565bb31b564302915119ff8a5d96b81;6005530;177063;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;18754199397.0;1500000000.0;2;12153818678
14,14;0x852e69d4acc4f6a02ca16e348723099c426368fedf43194ce40a4887e95fe797;3872026;37;0x56eddb7aa87536c09ccc2793473599fd21a8b17f;0xa0ac3089bc078d28f03c1468d0c3ecd4cc7ec6de;97759400.0;207128;12653818678;0x;2775264;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;102000000000.0;2000000000.0;2;12653818678
15,15;0x0273f3f7fd366499b8b112411ab62a911bb142c5fc9672021cb397494deef69d;128;23;0xc166c4a46a8c62171d2e3c4cbe45c0624374b6f8;0x7a250d5630b4cf539739df2c5dacb4c659f2488d;297061036.7097974;223360;12724100392;0x7ff36ab500000000000000000000000000000000000000000000000000005fece8a3cf460000000000000000000000000000000000000000000000000000000000000080000000000000000000000000c166c4a46a8c62171d2e3c4cbe45c0624374b6f80000000000000000000000000000000000000000000000000000000063882fa30000000000000000000000000000000000000000000000000000000000000002000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc2000000000000000000000000233f355e60e33d313c58e0899778ad4928aec5f9;1379751;153725;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;12724100392.0;6000000000.0;2;12724100392
16,16;0x42d3b114c24cfb837f1271816c82d0a953d6aa310cfc9884faaf7f73859a3f29;1016;85;0xfe2e1655eb221fb6d2d827c81a67fde8de8a5f4a;0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45;0.0;200840;11653818678;0x5ae401dc000000000000000000000000000000000000000000000000000000006388365b000000000000000000000000000000000000000000000000000000000000004000000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000040000000000000000000000000000000000000000000000000000000000000016000000000000000000000000000000000000000000000000000000000000000e4472b43f300000000000000000000000000000000000000000000000000012c314a0e20e3000000000000000000000000000000000000000000000000013ee7f60cd840a80000000000000000000000000000000000000000000000000000000000000080000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000020000000000000000000000009c7376b5060c47e555f5f53005aa3d5a7c66f2fb000000000000000000000000c02aaa39b223fe8d0a0e5c4f27ead9083c756cc200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004449404b7c000000000000000000000000000000000000000000000000013ee7f60cd840a8000000000000000000000000fe2e1655eb221fb6d2d827c81a67fde8de8a5f4a00000000000000000000000000000000000000000000000000000000;8584612;143239;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;13926054089.0;1000000000.0;2;11653818678
17,17;0xa131444db72ab6d3224f9c522c5b2e7023a24222dcc96f43fbacfd294640573d;3872027;41;0x56eddb7aa87536c09ccc2793473599fd21a8b17f;0xdac17f958d2ee523a2206206994597c13d831ec7;0.0;207128;12653818678;0xa9059cbb000000000000000000000000607201da23530ec21b8b2a1f620038455c5a6fcd000000000000000000000000000000000000000000000000000000009fbad330;2884361;46097;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;102000000000.0;2000000000.0;2;12653818678
18,18;0x6197e0236879c92668707a6ba383d7f7c9b9de569d638230b22bbb3bc8b06c3f;24;46;0x6869b4b452bb875c3cc5953fa76976cfa17d5e33;0x00000000006c3852cbef3e08e8df289169ede581;6800000.0;158168;12153818678;0xfb0f3ee10000000000000000000000000000000000000000000000000000000000000020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015237e5469e000000000000000000000000000565f6b91cc82285704132d8513a8118ec1c843ec000000000000000000000000004c00500000ad104d7dbd00e3ae0a5c00560c00000000000000000000000000a213c344d14e9ae9da2b70a8f9a0122131d59274000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000007000000000000000000000000000000000000000000000000000000006387f1140000000000000000000000000000000000000000000000000000000063af7e140000000000000000000000000000000000000000000000000000000000000000360c6ebe00000000000000000000000000000000000000009b1f28064ea007870000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f00000000007b02230091a7ed01230072f7006a004d60a8d4e71d599b8104250f00000000000000000000000000000000000000000000000000000000000000000002000000000000000000000000000000000000000000000000000000000000024000000000000000000000000000000000000000000000000000000000000002e0000000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000009a9d359ca0000000000000000000000000000000a26b00c1f0df003000390027140000faa71900000000000000000000000000000000000000000000000000026a74d6728000000000000000000000000000f97ef0770dfafb1df96944eccb43c0263be5ca3c000000000000000000000000000000000000000000000000000000000000004121c301dfc3f4027b9f4d26b74b1bb6fe0ecd4e1f2276b7ded708b12e9e04603b324017097a380445516aca3276b218d3c02df8a6248ba0b6518edf6b6f4aee801b00000000000000000000000000000000000000000000000000000000000000360c6ebe;4179529;153197;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;15372796613.0;1500000000.0;2;12153818678
19,19;0xda82db78beb8cf7767492a72dc4025f0c8f95bb3837e80ff121926e53b3ca212;18599;91;0x4675c7e5baafbffbca748158becba61ef3b0a263;0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511;290778634.2639976;21000;11653818678;0x;8710832;21000;;;1;2022-12-01 04:36:59 UTC;16087612;0x7d8d051bb9715aff41266727ddc0f6452a5d7a1bd86f1ddb109f49a78482170d;23000000000.0;1000000000.0;2;11653818678
